% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: c_D31
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   0
% number of test points:       3100
% number of validation points: 3100
% number of classes:           32

@RELATION "c_D31--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30 }

@DATA
25.0514,5.7475,31
26.6614,7.3414,31
25.2653,6.2466,31
25.2285,4.7447,31
25.7529,5.1564,31
24.0785,5.6693,31
25.2722,6.8676,31
24.6535,6.2443,31
26.9834,6.633,31
25.7437,6.3179,31
26.4774,7.7416,31
26.7373,4.4756,31
27.1812,6.2972,31
25.4999,5.6739,31
25.3021,6.1431,31
23.3609,5.6601,31
25.5482,5.7107,31
26.2198,5.7337,31
25.884,6.3294,31
24.4649,5.7521,31
24.7708,6.7572,31
25.3274,5.6463,31
25.999,4.8551,31
25.0238,6.2742,31
25.8242,6.7848,31
25.4286,6.2834,31
27.3445,6.4697,31
24.6236,6.1178,31
27.126,6.1109,31
25.677,5.9085,31
25.539,6.3777,31
25.0491,6.0603,31
26.5924,6.0925,31
25.217,7.7531,31
25.2492,5.6486,31
24.941,5.0184,31
25.2814,7.5461,31
24.8191,6.1316,31
26.0105,6.8377,31
25.0215,6.564,31
25.1618,6.3064,31
25.8955,5.4393,31
24.8375,5.4416,31
25.4562,6.702,31
25.7161,5.5152,31
26.7212,4.7424,31
24.4649,7.2471,31
24.6328,5.3473,31
25.7253,6.7296,31
27.1168,5.6946,31
26.4958,5.9039,31
25.1158,6.1914,31
25.6103,7.6197,31
26.3026,6.7802,31
24.7915,6.2627,31
25.0997,5.8004,31
25.4838,7.0148,31
25.4217,7.3138,31
27.1306,6.9573,31
24.3338,5.1679,31
24.6236,5.6877,31
25.5183,4.8229,31
26.39,7.0401,31
24.3039,4.8827,31
25.5275,4.9333,31
24.8973,7.1919,31
24.7731,6.0925,31
26.5855,6.8423,31
25.6356,5.6371,31
26.7718,5.5336,31
24.8536,5.5152,31
25.8587,5.2208,31
25.2538,5.5727,31
25.4838,4.9333,31
25.5436,5.9844,31
23.1838,5.7314,31
27.7102,6.2535,31
25.1204,4.6504,31
25.2538,5.5681,31
25.5137,6.357,31
27.2249,5.5727,31
24.6581,5.9936,31
25.1894,5.4991,31
25.2446,5.9591,31
24.8007,4.4158,31
26.275,5.5888,31
25.8748,6.5456,31
24.6328,6.7503,31
24.8766,4.4664,31
26.4498,6.6997,31
25.148,5.9292,31
24.5914,5.8004,31
25.6954,5.9867,31
26.344,5.9522,31
26.8224,5.667,31
26.1347,5.0161,31
25.263,5.3082,31
