% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Spirals 2
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   200
% number of test points:       800
% number of validation points: 1000
% number of classes:           2

@RELATION "Spirals 2--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0,1 }

@DATA
-6.1897,0.65727,0
7.8639,-6.4503,0
9.2545,1.5533,0
2.1297,7.8645,0
-5.4549,4.2575,0
9.5303,-0.32635,0
3.1267,-2.0591,0
-5.2902,-10.062,0
9.3948,1.0715,0
8.5759,-5.3341,0
0.93506,-4.3838,0
-6.2251,1.5908,0
-1.8737,-10.992,0
1.1984,7.9212,0
2.6071,-3.2041,0
0.24886,-4.6049,0
-1.6754,7.6187,0
3.2935,-1.2998,0
8.7286,-4.9211,0
-4.7688,-2.999,0
3.9506,7.5371,0
-5.8278,-1.2397,0
9.2491,1.6473,0
3.2383,0.31557,0
-0.050904,-10.959,0
1.9185,-10.614,0
3.2168,-0.058466,0
3.9524,7.4756,0
0.077018,-4.5823,0
8.7043,3.1495,0
-4.0441,6.0412,0
3.2305,7.7066,0
8.9067,2.7277,0
-5.073,4.8938,0
-4.6938,-10.367,0
-3.3155,-10.615,0
2.9444,7.8413,0
9.5179,-0.11885,0
7.4101,4.8622,0
-0.81667,7.748,0
2.652,-3.0399,0
0.093457,-4.5296,0
3.4644,-0.82475,0
-0.97277,-4.7957,0
5.4525,6.729,0
9.2043,1.5865,0
-4.4536,-10.338,0
9.4834,-1.7448,0
3.8757,7.5641,0
1.9339,-10.581,0
-6.2664,1.4432,0
-4.6031,5.5817,0
2.8858,-2.8644,0
3.3146,-1.7055,0
4.7092,-9.3067,0
-0.76889,7.7935,0
7.0545,5.5083,0
-3.5965,6.4933,0
-6.2342,1.536,0
-1.159,7.7648,0
2.43,-10.453,0
-5.7751,3.7783,0
3.3444,-1.1375,0
1.4311,-10.728,0
-5.6155,4.0509,0
1.8252,-3.8929,0
-0.87084,7.8461,0
2.9067,-10.241,0
6.135,6.1498,0
1.9305,1.6612,0
-1.0664,-10.945,0
8.0467,-6.1617,0
4.7084,-9.4702,0
7.2445,-7.2901,0
8.5159,3.3677,0
-3.1077,6.7591,0
8.9268,-4.553,0
-4.1097,-3.5546,0
8.4523,3.6231,0
9.074,-3.9971,0
-1.6934,-10.93,0
-2.6817,-10.784,0
-0.20818,-10.904,0
-3.3145,6.7448,0
7.6143,4.7776,0
1.8891,7.9945,0
-4.9617,4.9128,0
6.185,-8.3018,0
7.597,4.7993,0
6.8046,-7.7092,0
9.4852,-0.83045,0
0.31727,-10.796,0
0.34827,-10.898,0
1.595,8.0649,0
7.0418,5.4515,0
7.3589,-7.1658,0
-5.2673,-10.113,0
-1.9432,-4.5469,0
-4.9427,-2.7646,0
2.8209,0.7911,0
7.238,-7.155,0
2.9986,-2.2217,0
2.8807,-2.7756,0
-3.5538,6.533,0
0.37874,-10.956,0
9.3917,-2.8248,0
9.1413,-3.5421,0
9.043,-4.1351,0
5.41,-8.944,0
9.4902,-2.2055,0
-3.7519,6.235,0
-1.9999,-10.786,0
-6.2789,1.4768,0
6.5728,5.8739,0
-6.2358,2.0347,0
-0.57982,-10.888,0
-2.6867,7.0581,0
-1.6644,-10.928,0
-5.873,3.5212,0
-5.9536,2.756,0
-4.5015,5.5497,0
-4.7812,-10.136,0
9.4429,0.14723,0
8.32,-5.7868,0
-5.8076,-1.4186,0
0.25049,7.8936,0
3.0942,-2.2727,0
-1.9311,-10.987,0
-1.1867,7.5873,0
3.8925,-9.9484,0
0.65955,-10.912,0
8.3436,3.4736,0
8.7489,-4.6731,0
9.0571,2.3432,0
-3.1434,-4.1922,0
9.4308,-2.8344,0
-1.5302,7.6588,0
-4.2682,-3.5807,0
-0.37747,7.9342,0
0.10163,8.0225,0
0.75648,-10.835,0
-5.9543,-0.84857,0
2.5145,-3.2283,0
0.82548,8.0652,0
2.4859,-10.424,0
7.0435,-7.5234,0
-4.3905,-10.31,0
6.1677,-8.179,0
-2.1123,-10.817,0
6.5018,-8.0212,0
-3.1069,-10.702,0
-4.6524,-3.0031,0
9.6053,-0.23408,0
3.9759,7.5021,0
-3.9864,-10.51,0
9.1298,1.9043,0
-5.6822,-1.5519,0
-4.1569,-3.4479,0
-5.8319,3.1896,0
-6.2925,0.38254,0
-2.4759,-4.4543,0
-5.6318,-9.8995,0
-6.219,1.763,0
-1.9644,7.3217,0
9.4961,0.84388,0
1.5335,1.8206,0
6.4172,-8.0605,0
4.0368,-9.822,0
-4.624,5.4917,0
3.0126,0.74541,0
-4.1326,-3.4253,0
2.858,7.7833,0
9.3122,1.2357,0
3.0488,-10.275,0
9.5279,-2.3566,0
9.332,1.4076,0
9.4817,-1.7919,0
-3.6737,6.3016,0
-5.3524,-2.2734,0
7.4769,4.9301,0
1.8968,-10.663,0
-1.3408,-4.667,0
2.6877,7.8581,0
1.8921,-10.608,0
-2.5425,7.1386,0
1.9966,-10.613,0
6.2258,-8.3042,0
-3.9129,6.1472,0
4.5256,-9.5881,0
-4.8135,-3.0225,0
9.2758,-3.1196,0
7.2352,-7.3519,0
-2.3745,7.1657,0
-6.0561,2.9386,0
2.6455,-2.8343,0
9.155,-3.4584,0
-3.2413,-4.0424,0
7.6,4.7316,0
4.5116,-9.587,0
-1.9031,7.4435,0
8.5666,-5.2856,0
-5.6775,3.655,0
9.5432,-1.21,0
-5.5412,4.0675,0
-0.66409,7.758,0
-0.20663,7.907,0
9.5896,-0.030392,0
-0.72114,-4.6982,0
8.5282,3.4712,0
2.1147,-3.6791,0
-6.0183,2.7161,0
9.4245,1.0019,0
4.739,-9.3797,0
-3.3789,6.6101,0
9.5433,0.60162,0
-2.6968,-10.872,0
-3.6639,6.3986,0
-3.4027,-3.9511,0
8.1747,3.9657,0
-3.9815,-3.6592,0
6.1002,6.3132,0
-1.8473,-4.6906,0
2.0636,-10.536,0
6.8535,-7.6401,0
5.4153,6.6388,0
5.9689,6.4425,0
7.3054,5.1094,0
-0.50526,-11.019,0
8.791,2.624,0
9.4875,-2.1837,0
9.2495,1.3641,0
-1.8042,-4.5322,0
9.5175,-1.3133,0
9.3458,0.70281,0
3.5811,-10,0
9.4446,-2.1924,0
0.26963,-10.942,0
-5.4738,-9.9958,0
9.5871,-1.8947,0
9.2563,1.7907,0
2.547,-10.382,0
5.7568,6.6082,0
3.2937,-0.52068,0
-6.0833,2.8099,0
9.373,-3.1008,0
9.3205,-3.2577,0
9.4902,-1.4378,0
-6.187,1.0381,0
6.5192,-8.1058,0
1.0123,-4.4021,0
-4.672,5.1879,0
-6.1573,0.46293,0
3.1855,-1.6672,0
1.6635,7.9036,0
6.743,-7.7716,0
0.16596,-10.905,0
-1.8062,7.3781,0
9.4212,0.4379,0
0.97855,-4.3774,0
4.8851,-9.3888,0
8.4293,-5.6118,0
4.4215,-9.6229,0
0.43479,-4.5288,0
-1.9859,-10.836,0
-4.3424,5.826,0
-1.866,7.4233,0
8.5664,-5.3699,0
9.2361,1.9091,0
3.2025,-1.6561,0
7.2877,-7.2162,0
9.4605,-2.0479,0
9.1738,1.562,0
8.3837,-5.6565,0
8.9176,2.7263,0
-5.9268,2.8421,0
0.51771,-10.86,0
-1.8011,7.4,0
-3.5373,-3.9826,0
3.946,-9.7296,0
9.0972,1.9137,0
8.5387,3.3788,0
9.5736,-0.51913,0
5.796,6.4445,0
6.6721,5.7271,0
3.0284,-2.4396,0
3.0775,-10.243,0
9.0954,-3.8872,0
9.6132,-1.3721,0
9.5486,0.17866,0
-4.9222,-2.8088,0
3.1473,-10.149,0
5.8863,6.5525,0
7.0438,-7.5529,0
-4.9246,-2.7362,0
-4.1818,-3.5145,0
1.9227,8.0575,0
-6.1054,0.27367,0
9.4178,-2.4451,0
-3.0879,6.8398,0
-0.5705,-10.955,0
-3.9189,6.182,0
9.0422,-3.8714,0
-3.7403,6.3872,0
7.5318,-6.8975,0
9.6557,-0.54051,0
8.8035,2.881,0
-3.558,-10.618,0
-3.435,-4.0252,0
8.2103,-5.8124,0
1.6835,8.0426,0
-5.8353,3.4403,0
4.057,-9.8702,0
-5.8753,3.2106,0
9.4168,-2.637,0
-5.2775,4.5449,0
9.3185,-3.2543,0
-5.9758,-1.0137,0
-1.5577,-11.013,0
6.646,5.778,0
-1.47,-10.974,0
8.8679,-4.3376,0
9.0695,2.0693,0
-1.5445,-10.861,0
-6.2583,1.208,0
-6.1761,0.28364,0
-2.3738,7.2639,0
6.1514,6.3491,0
3.8137,7.6093,0
8.8557,-4.77,0
-1.9541,-10.979,0
-4.9023,-10.25,0
2.3494,7.9311,0
-3.0306,6.8711,0
-2.4667,-10.875,0
9.6418,-1.5,0
9.5387,-1.4444,0
-3.83,6.2521,0
4.7258,-9.4589,0
-1.695,-4.6879,0
9.5655,-1.8657,0
2.2423,1.6375,0
-2.0426,-4.664,0
7.0099,-7.5947,0
7.5662,-6.6927,0
-6.1429,-0.060053,0
6.4421,5.95,0
9.5306,0.42752,0
5.6731,6.5427,0
-6.1695,0.37378,0
-3.5433,6.513,0
0.91518,8.0976,0
6.3062,6.0678,0
-2.0222,-4.6147,0
-6.2123,1.2301,0
0.43053,-10.866,0
9.0994,2.2467,0
-2.2786,-10.863,0
9.0998,-3.9509,0
-2.4811,-10.879,0
-6.2885,0.34238,0
-2.9975,-10.784,0
9.182,-3.694,0
6.2556,-8.1431,0
8.8658,2.4808,0
8.8361,-4.5111,0
2.5394,-10.346,0
-1.0763,7.6992,0
9.5619,-0.40851,0
3.4113,-0.56231,0
-1.1667,-10.96,0
4.3632,7.335,0
6.9267,5.5644,0
6.8742,-7.7347,0
9.4788,-0.11698,0
-3.9672,6.1393,0
-4.6209,5.4404,0
9.5543,-1.272,0
-0.098045,-4.7002,0
-6.1664,0.8755,0
9.4842,-2.0019,0
3.0552,0.51684,0
-6.0605,2.8113,0
-4.5932,5.6355,0
-4.5923,-3.0107,0
0.7538,-4.3239,0
1.9789,7.9715,0
6.2949,-8.1682,0
8.7393,-4.7584,0
9.1137,1.9833,0
1.9351,7.9989,0
1.6225,8.0619,0
-6.2092,-0.27814,0
5.8428,6.4679,0
3.422,-1.3605,0
-4.3262,-10.329,0
1.2257,1.917,0
-2.9944,6.9081,0
-6.1862,0.19949,0
-0.17876,-10.934,0
2.6104,1.1759,0
-0.63066,7.9322,0
-6.0821,-0.57804,0
7.0393,-7.3373,0
9.4892,0.1293,0
-6.07,-0.13694,0
-3.1435,-4.2105,0
4.4111,7.2887,0
9.1944,1.8827,0
-1.9428,-10.905,0
-6.1723,1.4376,0
-1.9992,-10.913,0
-0.81121,10.968,1
1.5588,-7.3968,1
6.4281,-1.3293,1
4.3669,3.6451,1
6.272,-1.9727,1
4.0273,3.831,1
5.2564,-4.6317,1
-1.5874,-1.5395,1
6.4674,-0.21338,1
4.852,10.474,1
4.2836,10.577,1
5.2156,-4.6946,1
2.2724,4.7971,1
-7.1125,-5.0245,1
-4.475,9.5344,1
-5.8992,-6.146,1
3.1162,10.925,1
-3.7713,-7.304,1
5.6664,-4.0005,1
1.805,11.079,1
-3.4182,-7.4078,1
-4.1834,9.82,1
-3.2263,1.5045,1
4.0163,10.708,1
0.98499,-7.6575,1
-0.0020259,-7.846,1
-6.343,-5.7994,1
3.717,10.829,1
-4.5396,-6.8894,1
0.61067,-7.6495,1
-2.9535,2.3712,1
4.9888,-4.9714,1
1.9705,-7.3029,1
6.2679,-2.8007,1
0.86831,11.102,1
-8.8819,-2.1783,1
0.54604,11.149,1
-0.50486,-7.9025,1
6.526,-0.43031,1
4.8185,-5.197,1
-8.751,-2.0431,1
6.5303,-0.96597,1
-9.3089,-0.21599,1
-9.3215,0.5375,1
5.6566,2.1243,1
-8.1968,-3.5086,1
-1.0038,-7.797,1
0.97978,4.9127,1
4.2036,-6.0635,1
-5.5697,8.8867,1
4.412,10.606,1
0.76886,4.824,1
-5.0861,9.2175,1
-6.6947,7.8152,1
-9.1835,-0.81083,1
5.2002,10.303,1
-8.1644,-3.3973,1
-5.629,-6.3982,1
6.3733,-1.8671,1
5.2086,10.402,1
3.1581,-6.6794,1
-0.48681,11.122,1
6.4578,0.12614,1
-5.2585,8.9999,1
-2.147,10.663,1
-8.9644,-1.9842,1
-6.7465,-5.3361,1
-9.3619,2.402,1
-9.3888,0.76377,1
-0.91365,4.5004,1
-8.5543,-2.6996,1
-2.962,2.3075,1
0.81058,4.8785,1
-2.2058,-7.7239,1
-8.2399,-3.1251,1
-7.84,6.1489,1
-7.1647,-4.7992,1
-9.1051,-1.2053,1
-8.2401,5.6983,1
-9.2709,1.4565,1
-1.1208,10.969,1
2.6463,-6.9462,1
4.1495,10.773,1
0.049887,4.851,1
-8.8288,4.2941,1
5.9354,1.757,1
-8.5257,5.0844,1
-9.1093,-1.2069,1
-9.1519,3.3051,1
-1.1801,-1.5796,1
1.0444,-7.6538,1
-8.7608,-2.097,1
-6.6203,7.8778,1
5.0306,3.1274,1
-5.9362,-6.0703,1
-7.2105,7.2044,1
-6.8202,-5.1061,1
3.5483,-6.3831,1
6.1136,1.1771,1
-0.91868,4.4151,1
0.97563,4.9271,1
-6.8825,7.6813,1
-5.0191,-6.5864,1
5.4504,2.529,1
-2.6901,-7.6849,1
-5.2237,-6.5211,1
-2.0146,10.734,1
1.0781,4.9827,1
-8.6327,-2.5996,1
-9.2934,0.36294,1
-7.1651,7.3631,1
-5.5471,9.0175,1
5.6223,-4.1865,1
5.7858,1.9967,1
0.16328,4.7178,1
-1.0622,10.884,1
-0.24728,11.01,1
-9.3473,1.5253,1
