% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: c_TRex
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   0
% number of test points:       3251
% number of validation points: 3251
% number of classes:           7

@RELATION "c_TRex--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0 }

@DATA
3,31,0
9,86,0
15,108,0
17,69,0
27,41,0
28,259,0
31,259,0
32,183,0
39,168,0
40,161,0
40,155,0
40,150,0
41,183,0
41,166,0
41,163,0
41,159,0
41,153,0
41,149,0
42,183,0
42,179,0
42,170,0
42,167,0
42,164,0
42,80,0
43,183,0
43,153,0
43,148,0
43,142,0
44,176,0
44,172,0
44,170,0
44,168,0
44,167,0
44,165,0
44,163,0
44,151,0
44,148,0
45,187,0
45,182,0
45,166,0
45,162,0
45,157,0
45,156,0
45,151,0
45,140,0
45,137,0
46,191,0
46,185,0
46,182,0
46,176,0
46,173,0
46,162,0
46,151,0
46,150,0
46,149,0
46,148,0
46,145,0
46,135,0
47,197,0
47,181,0
47,176,0
47,175,0
47,169,0
47,168,0
47,158,0
47,157,0
47,156,0
47,155,0
47,153,0
47,150,0
47,148,0
47,146,0
47,135,0
48,186,0
48,182,0
48,179,0
48,175,0
48,174,0
48,171,0
48,165,0
48,156,0
48,153,0
48,145,0
48,141,0
49,183,0
49,179,0
49,175,0
49,172,0
49,170,0
49,168,0
49,160,0
49,159,0
49,149,0
49,147,0
49,146,0
49,145,0
50,190,0
50,177,0
50,175,0
50,174,0
50,172,0
50,165,0
50,163,0
50,156,0
50,155,0
50,151,0
50,150,0
50,143,0
50,142,0
50,136,0
51,203,0
51,195,0
51,187,0
51,184,0
51,174,0
51,171,0
51,151,0
51,150,0
51,147,0
51,142,0
51,138,0
51,135,0
52,204,0
52,198,0
52,197,0
52,191,0
52,177,0
52,173,0
52,171,0
52,147,0
52,144,0
52,140,0
52,138,0
52,137,0
53,186,0
53,183,0
53,180,0
53,178,0
53,176,0
53,170,0
53,155,0
53,150,0
54,206,0
54,197,0
54,189,0
54,176,0
54,175,0
54,169,0
54,161,0
54,159,0
54,152,0
54,151,0
54,149,0
54,148,0
54,141,0
54,138,0
55,208,0
55,201,0
55,187,0
55,184,0
55,181,0
55,175,0
55,161,0
55,147,0
55,138,0
56,210,0
56,203,0
56,170,0
56,168,0
56,166,0
56,146,0
56,144,0
57,204,0
57,192,0
57,182,0
57,177,0
57,176,0
57,156,0
57,151,0
57,148,0
57,146,0
57,144,0
58,208,0
58,184,0
58,182,0
58,181,0
58,180,0
58,177,0
58,174,0
58,171,0
58,159,0
58,158,0
58,151,0
58,147,0
58,142,0
58,141,0
58,31,0
59,213,0
59,208,0
59,205,0
59,202,0
59,188,0
59,185,0
59,180,0
59,177,0
59,174,0
59,171,0
59,164,0
59,156,0
59,144,0
59,143,0
60,207,0
60,192,0
60,182,0
60,164,0
60,124,0
60,123,0
61,212,0
61,209,0
61,207,0
61,199,0
61,197,0
61,182,0
61,173,0
61,170,0
61,164,0
61,161,0
61,160,0
61,159,0
61,148,0
61,147,0
61,143,0
62,213,0
62,211,0
62,210,0
62,197,0
62,183,0
62,182,0
62,169,0
62,156,0
62,152,0
62,151,0
62,146,0
62,64,0
63,215,0
63,212,0
63,198,0
63,193,0
63,181,0
63,169,0
63,165,0
63,164,0
63,157,0
63,151,0
64,216,0
64,212,0
64,196,0
64,194,0
64,185,0
64,183,0
64,181,0
64,171,0
64,170,0
64,168,0
64,163,0
64,156,0
64,155,0
64,147,0
64,127,0
65,209,0
65,208,0
65,206,0
65,200,0
65,183,0
65,169,0
65,155,0
65,154,0
65,125,0
65,124,0
66,200,0
66,192,0
66,189,0
66,175,0
66,173,0
66,165,0
66,151,0
66,150,0
66,136,0
66,134,0
66,128,0
66,123,0
67,218,0
67,209,0
67,206,0
67,204,0
67,200,0
67,192,0
67,180,0
67,171,0
67,160,0
67,152,0
67,127,0
67,123,0
67,121,0
68,218,0
68,217,0
68,216,0
68,190,0
68,186,0
68,180,0
68,178,0
68,172,0
68,156,0
68,150,0
68,148,0
68,128,0
68,38,0
69,218,0
69,175,0
69,166,0
69,158,0
69,150,0
69,148,0
69,134,0
69,122,0
69,121,0
70,182,0
70,179,0
70,170,0
70,164,0
71,187,0
71,185,0
71,176,0
71,173,0
71,172,0
71,171,0
71,132,0
71,121,0
71,71,0
72,222,0
72,218,0
72,183,0
72,180,0
72,177,0
72,166,0
72,164,0
72,156,0
72,154,0
72,153,0
72,152,0
72,132,0
72,121,0
72,106,0
72,29,0
73,221,0
73,218,0
73,186,0
73,185,0
73,178,0
73,175,0
73,173,0
73,166,0
73,161,0
73,153,0
73,133,0
73,129,0
73,127,0
73,125,0
73,122,0
74,172,0
74,163,0
74,154,0
74,134,0
74,132,0
74,122,0
75,183,0
75,174,0
75,170,0
75,155,0
75,133,0
75,129,0
75,126,0
75,24,0
76,223,0
76,177,0
76,170,0
76,135,0
76,122,0
76,121,0
77,174,0
77,172,0
77,164,0
77,154,0
77,153,0
77,139,0
77,137,0
77,132,0
78,209,0
78,208,0
78,207,0
78,206,0
78,202,0
78,199,0
78,177,0
78,174,0
78,173,0
78,172,0
78,167,0
78,162,0
78,156,0
78,140,0
78,138,0
78,121,0
78,63,0
79,212,0
79,211,0
79,207,0
79,205,0
79,203,0
79,201,0
79,176,0
79,172,0
79,156,0
79,132,0
79,122,0
80,211,0
80,209,0
80,208,0
80,207,0
80,205,0
80,203,0
80,201,0
80,200,0
80,197,0
80,195,0
80,175,0
80,171,0
80,166,0
80,160,0
80,154,0
80,141,0
80,135,0
80,129,0
80,127,0
80,126,0
81,214,0
81,213,0
81,211,0
81,210,0
81,209,0
81,208,0
81,207,0
81,205,0
81,200,0
81,197,0
81,168,0
81,132,0
81,119,0
82,211,0
82,210,0
82,208,0
82,206,0
82,205,0
82,201,0
82,199,0
82,198,0
82,197,0
82,194,0
82,178,0
82,177,0
82,176,0
82,175,0
82,165,0
82,164,0
82,156,0
82,129,0
82,128,0
82,127,0
82,126,0
82,123,0
82,119,0
82,62,0
83,228,0
83,227,0
83,215,0
83,211,0
83,209,0
83,206,0
83,205,0
83,204,0
83,203,0
83,201,0
83,200,0
83,199,0
83,198,0
83,196,0
83,182,0
83,177,0
83,173,0
83,162,0
83,160,0
83,139,0
83,132,0
83,131,0
83,130,0
83,129,0
83,44,0
84,212,0
84,210,0
84,205,0
84,203,0
84,201,0
84,196,0
84,193,0
84,192,0
84,169,0
84,159,0
84,135,0
84,132,0
85,227,0
85,213,0
85,210,0
85,208,0
85,206,0
85,205,0
85,203,0
85,199,0
85,197,0
85,194,0
85,193,0
85,192,0
85,172,0
85,171,0
85,170,0
85,164,0
85,134,0
85,131,0
85,130,0
85,120,0
85,65,0
86,215,0
86,210,0
86,204,0
86,203,0
86,199,0
86,193,0
86,177,0
86,171,0
86,142,0
86,128,0
86,127,0
87,210,0
87,208,0
87,204,0
87,202,0
87,198,0
87,197,0
87,196,0
87,195,0
87,194,0
87,181,0
87,166,0
87,157,0
87,133,0
87,124,0
88,216,0
88,215,0
88,212,0
88,211,0
88,209,0
88,203,0
88,201,0
88,199,0
88,198,0
88,197,0
88,194,0
88,176,0
88,175,0
88,171,0
88,167,0
88,166,0
88,160,0
88,140,0
88,137,0
88,132,0
88,129,0
89,230,0
89,213,0
89,208,0
89,204,0
89,203,0
89,196,0
89,195,0
89,194,0
89,192,0
89,175,0
89,174,0
89,171,0
89,168,0
89,139,0
89,126,0
89,123,0
90,229,0
90,216,0
90,215,0
90,209,0
