% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: c_Aggregation
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   0
% number of test points:       788
% number of validation points: 788
% number of classes:           8

@RELATION "c_Aggregation--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 1,0,3,2,5,4,7,6 }

@DATA
15.55,28.65,7
14.9,27.55,7
14.45,28.35,7
14.15,28.8,7
13.75,28.05,7
13.35,28.45,7
13,29.15,7
13.45,27.5,7
13.6,26.5,7
12.8,27.35,7
12.4,27.85,7
12.3,28.4,7
12.2,28.65,7
13.4,25.1,7
12.95,25.95,7
12.9,26.5,7
11.85,27,7
11.35,28,7
11.15,28.7,7
11.25,27.4,7
10.75,27.7,7
10.5,28.35,7
9.65,28.45,7
10.25,27.25,7
10.75,26.55,7
11.7,26.35,7
11.6,25.9,7
11.9,25.05,7
12.6,24.05,7
11.9,24.5,7
11.1,25.2,7
10.55,25.15,7
10.05,25.95,7
9.35,26.6,7
9.3,27.25,7
9.2,27.8,7
7.5,28.25,7
8.55,27.45,7
8.5,27.05,7
8.05,27.2,7
7.85,26.8,7
7.3,27.4,7
6.8,26.85,7
7,26.5,7
7.55,26.3,7
8.55,26.3,7
9,25.85,7
8.6,25.65,7
9.4,25.55,7
8.45,25.05,7
8.85,24.6,7
9.65,24.7,7
10.55,24.35,7
11.05,23.9,7
10.55,23.55,7
9.45,23.35,7
9.2,23.9,7
8.35,23.9,7
7.35,24.75,7
7.4,25.45,7
6.6,25.75,7
6.1,26,7
5.8,26.95,7
5.65,25.8,7
5.3,26.1,7
6.4,25.4,7
5.4,25.25,7
5.35,24.7,7
4.8,25.05,7
4.2,25.55,7
6.4,24.8,7
6.55,24.3,7
7.4,24.25,7
5.45,24.2,7
4.3,24,7
4,24.25,7
3.35,23.3,7
4.85,23.05,7
4.3,22.75,7
5.85,23.4,7
5.9,23.55,7
7.55,23.7,7
6.85,23.25,7
7.65,23.1,7
6.95,22.55,7
6.1,22.6,7
5.5,22.6,7
4.7,22.1,7
3.8,21.85,7
4.65,21.2,7
4.15,20.35,7
5.3,20.4,7
5.6,20.75,7
5.8,21.95,7
6.4,21.95,7
6.55,21.15,7
7.45,21.95,7
7.4,21.55,7
7.75,21.2,7
7.65,20.65,7
6.95,19.8,7
6.6,20.1,7
6.05,20.2,7
5.4,19.65,7
5.35,19.05,7
5.8,18.25,7
6.3,19.1,7
7,18.9,7
7.15,17.9,7
7.35,18.2,7
8.2,20.05,7
8.3,19.45,7
8.3,18.5,7
8.75,18.8,7
9.05,18.2,7
9.35,17.7,7
8.9,17.65,7
8.45,17.2,7
10.05,17.2,7
10.4,16.75,7
8.6,20.9,7
8.65,21.3,7
8.65,21.9,7
8.65,22.5,7
8.95,22.8,7
9.95,22.65,7
8.95,22.2,7
9.65,21.9,7
10.55,22.3,7
10.9,22.85,7
11.35,23.45,7
12.05,23.4,7
12.3,22.75,7
11.7,22.15,7
11.15,22.05,7
10.85,21.5,7
10.85,21.05,7
9.6,21.3,7
9.85,20.7,7
9.35,20.6,7
9.25,19.65,7
9.95,19.8,7
10.7,20.35,7
11.3,20.7,7
12.35,21.6,7
13.1,21.3,7
12.85,20.75,7
12,20,7
11,19.85,7
10.35,19,7
9.9,18.65,7
10.6,18.15,7
11.4,18.3,7
11.4,19.25,7
12.35,18.8,7
12.8,19.75,7
12.15,18.1,7
11.05,17.5,7
11.95,17.25,7
12.25,17.5,7
13.05,17.4,7
13.75,18.15,7
13.5,18.65,7
13.65,19.25,7
14,19.9,7
15.2,18.2,7
15.5,17.15,7
13.9,17.1,7
13.75,16.6,7
12.15,16.4,7
7.8,13.7,7
8.85,13.35,7
9,12.7,7
9.7,12.1,7
8.05,12.9,7
7.7,13.25,7
6.8,13.2,7
6.6,13.45,7
