% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Spirals
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   600
% number of test points:       600
% number of validation points: 800
% number of classes:           2

@RELATION "Spirals--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0,1 }

@DATA
7.8639,-6.4503,0
9.2545,1.5533,0
8.5759,-5.3341,0
7.8028,4.6169,0
3.4512,-0.96304,0
0.24886,-4.6049,0
-4.6099,-3.0718,0
8.7286,-4.9211,0
3.9506,7.5371,0
3.2383,0.31557,0
2.7776,-2.8252,0
-5.4802,-9.9058,0
1.9185,-10.614,0
0.077018,-4.5823,0
1.8104,-3.7337,0
2.8429,-2.777,0
2.8459,7.747,0
-4.6938,-10.367,0
-6.1697,1.8388,0
-3.3155,-10.615,0
6.6636,5.8316,0
-4.1303,-10.412,0
9.6558,-1.4019,0
4.4537,7.3481,0
8.7461,2.765,0
-1.353,7.592,0
-5.8547,3.2987,0
0.073541,7.9084,0
6.8944,5.6452,0
2.652,-3.0399,0
-6.1887,0.59229,0
-0.97277,-4.7957,0
0.84567,-4.4654,0
-4.4536,-10.338,0
-6.0445,2.5603,0
-3.798,6.2407,0
6.4002,5.9833,0
0.98927,7.9858,0
-0.76889,7.7935,0
-6.2342,1.536,0
-5.9545,3.1486,0
8.4755,3.3411,0
2.43,-10.453,0
-1.8871,7.4993,0
3.3444,-1.1375,0
8.2694,-5.811,0
2.4364,-10.374,0
0.9314,7.9884,0
7.2445,-7.2901,0
8.9054,2.4153,0
8.9268,-4.553,0
-4.1097,-3.5546,0
-1.6934,-10.93,0
9.3719,1.1747,0
-1.6008,-10.864,0
6.185,-8.3018,0
0.31727,-10.796,0
1.1825,7.9601,0
0.34827,-10.898,0
3.2225,0.080602,0
7.0418,5.4515,0
7.3589,-7.1658,0
8.6306,-5.1868,0
-4.9478,-10.257,0
8.6501,3.3352,0
8.9433,2.3335,0
